school,ambient,total_ambients
MONTE AZUL A. C.,BERCARIO,3
MONTE CARMELO II,SALA DE ED. INFANTIL PROPRIA ,3
MONTE CARMELO IV,SALA DE AULA PROPRIA         ,3
MONTE MORIAH,SALA DE ED. INFANTIL PROPRIA ,3
MOOCA,BERCARIO,3
MUNDO DA ALEGRIA,SALA DE ED. INFANTIL PROPRIA ,3
MUNDO DA ALEGRIA III,SALA DE ED. INFANTIL PROPRIA ,3
MUNDO DA FELICIDADE,SALA DE ED. INFANTIL PROPRIA ,3
MUNDO DAS CRIANCAS,BERCARIO,3
MUNDO DE SOFIA,BERCARIO,3
MUNDO DOS SONHOS II,BERCARIO,3
MUNDO DOS SONHOS III,SALA DE ED. INFANTIL PROPRIA ,3
MUNDO ENCANTADO III,SALA DE AULA PROPRIA         ,3
MUNDO FELIZ,SALA DE ED. INFANTIL PROPRIA ,3
MUNDO INFANTIL,BERCARIO,3
MUNDO INFANTIL,SALA DE ED. INFANTIL PROPRIA ,3
MUNDO MAGICO,SALA DE ED. INFANTIL PROPRIA ,3
MUNIR ABBUD,BERCARIO,3
MUTIRAO JARDIM FONTALIS,SALA DE RECREACAO             ,3
MVV DE GUAIANASES,BERCARIO,3
MVV DE GUAIANASES,SALA DE ED. INFANTIL PROPRIA ,3
NAIR SALGADO,BERCARIO,3
NATALIA REZINO I,SALA DE ED. INFANTIL PROPRIA ,3
NATALIA REZINO I,BERCARIO,3
NEIDE KETELHUT,BERCARIO,3
NELSON BREVE,SALA DE ED. INFANTIL PROPRIA ,3
NELSON BREVE,BERCARIO,3
NOAH,SALA DE ED. INFANTIL PROPRIA ,3
NOGUEIRA SUDESTE,BERCARIO,3
NOITE ENCANTADA I,BERCARIO,3
NOITE ENCANTADA III,BERCARIO,3
NOITE ENCANTADA IV,SALA DE ED. INFANTIL PROPRIA ,3
NOITE ENCANTADA VI,SALA DE ED. INFANTIL PROPRIA ,3
NORA AULER DE ARRUDA BOTELHO,BERCARIO,3
NOSSA SENHORA APARECIDA I,SALA DE RECREACAO             ,3
NOSSA SENHORA DA PAZ,BERCARIO,3
NOSSA SENHORA DAS GRACAS,SALA DE AULA PROPRIA         ,3
NOSSA SENHORA DOS POBRES,SALA DE ED. INFANTIL PROPRIA ,3
NOSSA SENHORA MAGLAC,SALA DE ED. INFANTIL PROPRIA ,3
NOSSA SRA. DA PROVIDENCIA,SALA DE RECREACAO             ,3
NOVA ALIANCA,SALA DE ED. INFANTIL PROPRIA ,3
NOVA ALIANCA III,SALA DE AULA PROPRIA         ,3
NOVA GERACAO,BERCARIO,3
NOVA LUZ,SALA DE ED. INFANTIL PROPRIA ,3
NOVO CRUZEIRO,SALA DE AULA PROPRIA         ,3
NUCLEO SOCIO EDUCATIVO NOSSO LAR,SALA DE RECREACAO             ,3
OLAVO BILAC,SALA DE ED. INFANTIL PROPRIA ,3
OLHAR INOCENTE,SALA DE ED. INFANTIL PROPRIA ,3
ONDACAIMA JUNIOR,BERCARIO,3
ORMINDA PINTO,BERCARIO,3
OSWALDO CRUZ,SALA DE ED. INFANTIL PROPRIA ,3
PADRE PIO,SALA DE RECREACAO             ,3
PAM,SALA DE RECREACAO             ,3
PAOLA,SALA DE ED. INFANTIL PROPRIA ,3
PAOLA,BERCARIO,3
PARCEIROS DA CRIANCA,SALA DE RECREACAO             ,3
PARQUE ANHANGUERA,BERCARIO,3
PARQUE DAS PAINEIRAS,BERCARIO,3
PARQUE DOS BANCARIOS,BERCARIO,3
PARQUE GUARANI,BERCARIO,3
PARQUE PERUCHE,BERCARIO,3
PARQUE RESIDENCIAL COCAIA - GRAJAU,BERCARIO,3
PARQUE SANTA MADALENA II,BERCARIO,3
PARQUE SAO DOMINGOS,SALA DE ED. INFANTIL PROPRIA ,3
PARQUE SAO RAFAEL II,BERCARIO,3
PARQUE SAVOY CITY,BERCARIO,3
PASCHOAL BIANCO,SALA DE RECREACAO             ,3
PASSO A PASSO III,BERCARIO,3
PASSOS DO FUTURO,BERCARIO,3
PAULINOEVA,BERCARIO,3
PAULO CESAR FONTELLES DE LIMA,BERCARIO,3
PAULO FRANCISCO SECKLER PUCCA,BERCARIO,3
PAULO SILAS,SALA DE ED. INFANTIL PROPRIA ,3
PAZ,ESTUDIO,3
PAZ NOS VALES,BERCARIO,3
PE COM PE,BERCARIO,3
PEDACINHO DO CEU,BERCARIO,3
PEDREIRA,BERCARIO,3
PEDRO APOSTOLO,SALA DE AULA PROPRIA         ,3
PEDRO E MARIA,SALA DE ED. INFANTIL PROPRIA ,3
PEDRO XAVIER,SALA DE ED. INFANTIL PROPRIA ,3
PEDRO XAVIER,BERCARIO,3
PENHA - BOM JESUS,BERCARIO,3
PEQUENA ISADORA,BERCARIO,3
PEQUENA ISADORA,SALA DE ED. INFANTIL PROPRIA ,3
PEQUENA LUZ,SALA DE ED. INFANTIL PROPRIA ,3
PEQUENINOS DO AMANHECER,SALA DE ED. INFANTIL PROPRIA ,3
PEQUENO ANJO,SALA DE ED. INFANTIL PROPRIA ,3
PEQUENO POLEGAR,BERCARIO,3
PEQUENOS CONSTRUTORES DO FUTURO,BERCARIO,3
PEQUENOS CRISTAIS,BERCARIO,3
PEQUENOS DA AMERICA,SALA DE ED. INFANTIL PROPRIA ,3
PEQUENOS DO BUTANTA II,SALA DE ED. INFANTIL PROPRIA ,3
PEQUENOS DO BUTANTA V,SALA DE ED. INFANTIL PROPRIA ,3
PEQUENOS GENIOS III,BERCARIO,3
PEQUENOS POETAS,SALA DE ED. INFANTIL PROPRIA ,3
PEROBEIRAS,BERCARIO,3
PERSEVERANCA VIII,BERCARIO,3
PESSACH,SALA DE ED. INFANTIL PROPRIA ,3
PINGO DE ORVALHO,SALA DE ED. INFANTIL PROPRIA ,3
PINGOS DE AMOR,BERCARIO,3
PINGUIM DE MOCHILA,SALA DE ED. INFANTIL PROPRIA ,3
PINGUINHO,SALA DE ED. INFANTIL PROPRIA ,3
PINHEIROS,BERCARIO,3
PITAGORAS,SALA DE AULA PROPRIA         ,3
PITANGUEIRAS,SALA DE ED. INFANTIL PROPRIA ,3
PLENO VIVER,BERCARIO,3
PLENO VIVER,SALA DE ED. INFANTIL PROPRIA ,3
PLENO VIVER II,SALA DE ED. INFANTIL PROPRIA ,3
PLENO VIVER II,BERCARIO,3
PLENO VIVER IV,SALA DE ED. INFANTIL PROPRIA ,3
PLENO VIVER IV,BERCARIO,3
PODER E QUERER,BERCARIO,3
PODER E QUERER,SALA DE ED. INFANTIL PROPRIA ,3
PONTE PEQUENA,BERCARIO,3
PRIMAVERA,BERCARIO,3
PRIMEIRO LAPIS,SALA DE ED. INFANTIL PROPRIA ,3
PRIMEIRO LAPIS II,SALA DE ED. INFANTIL PROPRIA ,3
PRIMEIRO LAPIS II,BERCARIO,3
PRIMEIRO LAPIS III,BERCARIO,3
PRINCESA LIVIA,BERCARIO,3
PRINCESA LORENA,BERCARIO,3
PRINCESA LORENA,SALA DE ED. INFANTIL PROPRIA ,3
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA V,SALA DE ED. INFANTIL PROPRIA ,3
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA X,BERCARIO,3
PRO-EDUCAR,BERCARIO,3
PRO-EDUCAR,SALA DE ED. INFANTIL PROPRIA ,3
PROFESSOR TEIXEIRA,BERCARIO,3
PROFESSOR TEIXEIRA,SALA DE ED. INFANTIL PROPRIA ,3
PROJETO CULTURAL VIVARTE DANIEL COMBONI,SALA DE RECREACAO             ,3
PROJETO DE VIDA,SALA DE ED. INFANTIL PROPRIA ,3
QUATRO PILARES DA EDUCACAO I,BERCARIO,3
QUATRO PILARES DA EDUCACAO III,BERCARIO,3
QUERUBIM II,BERCARIO,3
QUERUBINS DA VITORIA,SALA DE ED. INFANTIL PROPRIA ,3
QUINTA DO SOL,SALA DE DANCA / GINASTICA,3
QUINTAL DO BRINCAR,SALA DE ED. INFANTIL PROPRIA ,3
RAFA GIRE,SALA DE ED. INFANTIL PROPRIA ,3
RAFA GIRE,BERCARIO,3
RAIO DE LUZ,SALA DE ED. INFANTIL PROPRIA ,3
RAIO DE SOL III,SALA DE AULA PROPRIA         ,3
RANC III,BERCARIO,3
RECANTO DA ALEGRIA III,BERCARIO,3
RECANTO DOS PASSAROS,SALA DE RECREACAO             ,3
RECANTO INFANTIL COMUNITARIO DO PQ FIGUEIRA GRANDE,BERCARIO,3
RECANTO SANTA MONICA,SALA DE RECREACAO             ,3
REFERENCIA,SALA DE ED. INFANTIL PROPRIA ,3
REFERENCIAL,BERCARIO,3
REFERENCIAL,SALA DE ED. INFANTIL PROPRIA ,3
REI DAVI,BERCARIO,3
RELUZ,BERCARIO,3
RENOVO,BERCARIO,3
RIO CLARO,BERCARIO,3
ROKINHO,BERCARIO,3
ROSEIRA II,SALA DE ED. INFANTIL PROPRIA ,3
RUBEM ALVES,BERCARIO,3
RUTH ROCHA,SALA DE ED. INFANTIL PROPRIA ,3
SAL DA TERRA,SALA DE RECREACAO             ,3
SAMARITANINHOS I,BERCARIO,3
SAMARITANINHOS II,SALA DE AULA PROPRIA         ,3
SAMARITANINHOS IV,SALA DE ED. INFANTIL PROPRIA ,3
SAMARITANINHOS V,BERCARIO,3
SAMARITANINHOS V,SALA DE ED. INFANTIL PROPRIA ,3
SAMARITANINHOS VI,SALA DE ED. INFANTIL PROPRIA ,3
SAMIR RACHID SALIBA,BERCARIO,3
SANTA CATARINA,SALA DE ED. INFANTIL PROPRIA ,3
SANTA CECILIA,BERCARIO,3
SANTA CRUZ,SALA DE ED. INFANTIL PROPRIA ,3
SANTA CRUZ,BERCARIO,3
SANTA DULCE DOS POBRES,BERCARIO,3
SANTA DULCE DOS POBRES,SALA DE ED. INFANTIL PROPRIA ,3
SANTA LUCIA,SALA DE RECREACAO             ,3
SANTA MARCELINA,BERCARIO,3
SANTA MARCELINA CENTRO INFANTIL CRECHE,BERCARIO,3
SANTA MARINA,SALA DE ED. INFANTIL PROPRIA ,3
SANTA PAULINA,BERCARIO,3
SANTA RITA DE CASSIA,SALA DE ED. INFANTIL PROPRIA ,3
SANTA ROSA I,SALA DE RECREACAO             ,3
SANTA ROSA II,SALA DE RECREACAO             ,3
SANTO ANTONIO - JARDIM DOM JOSE,SALA DE ED. INFANTIL PROPRIA ,3
SANTO ESTEVAO REI,BERCARIO,3
SANTO ESTEVAO REI,SALA DE ED. INFANTIL PROPRIA ,3
SAO FRANCISCO XAVIER,SALA DE ED. INFANTIL PROPRIA ,3
SAO FRANCISCO XAVIER,BERCARIO,3
SAO JORGE,BERCARIO,3
SAO JOSE OPERARIO II,SALA DE ED. INFANTIL PROPRIA ,3
SAO JOSE OPERARIO II,BERCARIO,3
SAO LUIS GONZAGA,BERCARIO,3
SAO MATEUS,SALA DE RECREACAO             ,3
SAO MATEUS,BERCARIO,3
SAO MIGUEL ARCANJO,BERCARIO,3
SAO PAULO DA CRUZ,SALA DE RECREACAO             ,3
SAO RAFAEL,BERCARIO,3
SAO RAFAEL,ATELIE,3
SAPOPEMBA,ATELIE,3
SAPOPEMBA II,BERCARIO,3
SEGUIR SONHANDO,SALA DE RECREACAO             ,3
SEMEANDO O BEM II,SALA DE ED. INFANTIL PROPRIA ,3
SEMEANDO O FUTURO,SALA DE ED. INFANTIL PROPRIA ,3
SEMEAR PARA O FUTURO,BERCARIO,3
SEMENTES BRILHANTES,BERCARIO,3
SEMENTINHA DO APRENDER,BERCARIO,3
SEMENTINHA DO BEM,BERCARIO,3
SEMENTINHA DO SABER,SALA DE AULA PROPRIA         ,3
SEQUOIA,SALA DE ED. INFANTIL PROPRIA ,3
SER FELIZ,SALA DE ED. INFANTIL PROPRIA ,3
SER FELIZ III,BERCARIO,3
SERELEPE,BERCARIO,3
SETE DE SETEMBRO,SALA DE RECREACAO             ,3
SHALLOM,BERCARIO,3
SHALLOM,SALA DE ED. INFANTIL PROPRIA ,3
SHAMMAH,BERCARIO,3
SHEKINAH,BERCARIO,3
SIGNE CARLSON,BERCARIO,3
SITIO DA CASA PINTADA - MOCA,SALA DE RECREACAO             ,3
SOC AMIGOS VILA CONSTANCA SAVIC UNID I JT,SALA DE AULA ADAPTADA        ,3
SOL RADIANTE,BERCARIO,3
SOL REI,BERCARIO,3
SOLEDAD BARRET VIEDMA,BERCARIO,3
SONHO ENCANTADO,BERCARIO,3
SUCESSO DO AMANHA,SALA DE ED. INFANTIL PROPRIA ,3
SUZANA POMPEU DE TOLEDO,SALA DE ED. INFANTIL PROPRIA ,3
SUZANA POMPEU DE TOLEDO,BERCARIO,3
TALENTOS DO FUTURO,BERCARIO,3
TAMOIO,SALA DE ED. INFANTIL PROPRIA ,3
TAPAJOS,BERCARIO,3
TEOTONIO VILELA II,BERCARIO,3
TEQUINHO DO CEU,BERCARIO,3
TEREZINHA DE JESUS,SALA DE ED. INFANTIL PROPRIA ,3
THEREZINHA HELENA,BERCARIO,3
TIA ADELIA NERI,SALA DE ED. INFANTIL PROPRIA ,3
TIA ADELIA NERI,BERCARIO,3
TIA TEINHA NERI,SALA DE ED. INFANTIL PROPRIA ,3
TIA TEINHA NERI,BERCARIO,3
TIO BUBE,SALA DE ED. INFANTIL PROPRIA ,3
TIO LUIZ,BERCARIO,3
TRES LAGOS,PISCINA                       ,3
TURMA DA MAFALDA,SALA DE ED. INFANTIL PROPRIA ,3
TURMA DA TOUCA VI,BERCARIO,3
TURMINHA DA VILA,SALA DE ED. INFANTIL PROPRIA ,3
UIRAPURU,SALA DE DANCA / GINASTICA,3
UNAS UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E S JOAO CLIMACO,SALA DE AULA PROPRIA         ,3
UNIAO DE VILA NOVA II,SALA DE ED. INFANTIL PROPRIA ,3
UNIVERSO DA CRIANCA I,BERCARIO,3
UNIVERSO DA CRIANCA II,BERCARIO,3
UNIVERSO DA CRIANCA III,BERCARIO,3
UNIVERSO DOS PEQUENINOS,SALA DE ED. INFANTIL PROPRIA ,3
URSINHOS CARINHOSOS,BERCARIO,3
VALENTES DE DEUS,BERCARIO,3
VALENTINA FERREIRA,BERCARIO,3
VENHA CONOSCO - UNIDADE III,BERCARIO,3
VENHA CONOSCO - UNIDADE VIII,BERCARIO,3
VENTURA BRANCO,BERCARIO,3
VERA ALVARENGA,BERCARIO,3
VERA ALVARENGA,SALA DE ED. INFANTIL PROPRIA ,3
VERA CRUZ,BERCARIO,3
VIDA DE CRIANCA,SALA DE ED. INFANTIL PROPRIA ,3
VIDA E ALEGRIA,BERCARIO,3
VIDA ENCANTADA,SALA DE ED. INFANTIL PROPRIA ,3
VILA ANGLO,SALA DE RECREACAO             ,3
VILA BASILEIA,BERCARIO,3
VILA CONSTANCIA,BERCARIO,3
VILA CURUCA II,SALA DE AULA PROPRIA         ,3
VILA GUSTAVO,BERCARIO,3
VILA IMPERIO,BERCARIO,3
VILA INGLESA,BERCARIO,3
VILA ITAIM,SALA DE RECREACAO             ,3
VILA LEOPOLDINA,SALA DE ED. INFANTIL PROPRIA ,3
VILA NANCY,BERCARIO,3
VILA NINA,BERCARIO,3
VILA NOVA CACHOEIRINHA,BERCARIO,3
VILA NOVA JAGUARE,BERCARIO,3
VILA REGINA,SALA DE ED. INFANTIL PROPRIA ,3
VILA SANTA INES,BERCARIO,3
VILA SANTA TERESINHA,BERCARIO,3
VILA SILVIA,BERCARIO,3
VITORIA SERGIO BRANCO MARTINS,BERCARIO,3
VIVER E APRENDER,SALA DE ED. INFANTIL PROPRIA ,3
VO ESTER,SALA DE AULA PROPRIA         ,3
VO ESTER II,BERCARIO,3
VO NICE,SALA DE ED. INFANTIL PROPRIA ,3
VO NICE I,SALA DE ED. INFANTIL PROPRIA ,3
VO NICE II,BERCARIO,3
VO NICE III,BERCARIO,3
VO ZEFINHA,SALA DE AULA PROPRIA         ,3
VOVO ALZIRA,BERCARIO,3
VOVO ALZIRA,SALA DE ED. INFANTIL PROPRIA ,3
VOVO ANNA GOMES,SALA DE ED. INFANTIL PROPRIA ,3
VOVO AUGUSTA II,SALA DE ED. INFANTIL PROPRIA ,3
VOVO GIM,SALA DE ED. INFANTIL PROPRIA ,3
VOVO GIM,BERCARIO,3
VOVO LIDIA I,BERCARIO,3
VOVO LIDIA II,SALA DE ED. INFANTIL PROPRIA ,3
VOVO MARIA JULIA,BERCARIO,3
VOVO MARIAZINHA ROCHA,BERCARIO,3
VOVO NELSAO,BERCARIO,3
VOVO OLINDA,BERCARIO,3
WENCESLAU GUIMARAES,BERCARIO,3
YAHWE NISSI,BERCARIO,3
ZACARIA MAURO FACCIO GONCALVES,BERCARIO,3
ZUMBI DOS PALMARES,SALA DE RECREACAO             ,3
13 DE MAIO,BERCARIO,2
A MAO COOPERADORA,BERCARIO,2
ABELHINHA DOURADA I,BERCARIO,2
ACM CENTRO DE SESENVOLVIMENTO COMUNITARIO VILA MARIA,SALA DE RECREACAO             ,2
ADELAIDE LOPES RODRIGUES,BERCARIO,2
ADELIA CURI,BERCARIO,2
ADHEMAR FERREIRA DA SILVA,BERCARIO,2
AEC PADRE LUIZ SUTTER UNID IV SM,SALA DE AULA ADAPTADA        ,2
AGUIA DE HAIA,BERCARIO,2
ALEGRETTI,BERCARIO,2
ALEGRIA,BERCARIO,2
ALEGRIA E VIDA,SALA DE RECREACAO             ,2
ALERTA CRIANCA,BERCARIO,2
ALPHA BABY II,BERCARIO,2
ALPHA BABY II,SALA DE ED. INFANTIL PROPRIA ,2
ALPS CACHOEIRINHA,SALA DE ED. INFANTIL PROPRIA ,2
ALPS LAJEADO,BERCARIO,2
ALPS LAJEADO II,SALA DE ED. INFANTIL PROPRIA ,2
ALTO ALEGRE,SALA DE RECREACAO             ,2
ALTO DA RIVIERA,SALA DE RECREACAO             ,2
ALVARENGA,BERCARIO,2
ALVORADA,BERCARIO,2
AMIGOS DA VITORIA,SALA DE RECREACAO             ,2
AMIGUINHOS DE JESUS,BERCARIO,2
AMOR DE TATI,BERCARIO,2
AMOR DIVINO,SALA DE ED. INFANTIL PROPRIA ,2
AMOR ETERNO,SALA DE ED. INFANTIL PROPRIA ,2
AMOR ETERNO,BERCARIO,2
ANA DE FATIMA,BERCARIO,2
ANA MAE BARBOSA,SALA DE ED. INFANTIL PROPRIA ,2
ANA MARIA MACHADO,BERCARIO,2
ANA PAULA ANDRADE,SALA DE ED. INFANTIL PROPRIA ,2
ANANDA MARGA - UNIVERSO INFANTIL,BERCARIO,2
ANDRE LUIZ I G REGINALDO,SALA DE ED. INFANTIL PROPRIA ,2
ANGLICANA RENATA EUGENIA RODRIGUES - UNID IV- MORUMBI,SALA DE ED. INFANTIL PROPRIA ,2
ANHANGUERA,SALA DE RECREACAO             ,2
ANIBAL DI FRANCIA,SALA DE ED. INFANTIL PROPRIA ,2
ANITA GARIBALDI,BERCARIO,2
ANIVALDO FERREIRA PADILHA,SALA DE ED. INFANTIL PROPRIA ,2
ANJO RAFAELA II,SALA DE ED. INFANTIL PROPRIA ,2
ANJOS DA TERRA,SALA DE ED. INFANTIL PROPRIA ,2
ANNABEL FORMIGA,BERCARIO,2
ANNALU,SALA DE ED. INFANTIL PROPRIA ,2
ANNALU,BERCARIO,2
ANTONIA MUOTRI LAMBERGA,BERCARIO,2
ANTONIO ALVES VERISSIMO,LABORATORIO DE INFORMATICA    ,2
ANTONIO ASSUNCAO FERREIRA,BERCARIO,2
ANTONIO CARLOS DE ANDRADA E SILVA,PATIO COBERTO                 ,2
ANTONIO RODRIGUES,BERCARIO,2
ANTONIO RODRIGUES,SALA DE ED. INFANTIL PROPRIA ,2
ANUNCIACAO FERREIRA,SALA DE ED. INFANTIL PROPRIA ,2
APRENDENDO A VIVER,BERCARIO,2
APRENDER E CRESCER,BERCARIO,2
AQUARELA,SALA DE AULA PROPRIA         ,2
AQUARELA,BERCARIO,2
ARCO IRIS ENCANTADO,BERCARIO,2
ARCO IRIS III,SALA DE RECREACAO             ,2
ARIANO SUASSUNA,SALA DE RECREACAO             ,2
ARTE DE BRINCAR,BERCARIO,2
ARTE E CRIANCA,BERCARIO,2
AS CORES DA INFANCIA,BERCARIO,2
ASAS DA VIDA,BERCARIO,2
ASAS DA VIDA,SALA DE ED. INFANTIL PROPRIA ,2
ASBEN JACANA,BERCARIO,2
ASS BENEFICENTE UNIDOS DO JARDIM GUARANI UNID I FO,SALA DE AULA PROPRIA         ,2
ASS CULT ESP BENEF VL NV CACHOEIRINHA UNID I FO,SALA DE AULA PROPRIA         ,2
ASS MORAD JD SANTA CECILIA,SALA DE AULA PROPRIA         ,2
ASS SOC CULT MADRE TERESA DE JESUS UNID I FO,SALA DE AULA PROPRIA         ,2
ASS TRES IRMAOS UNID II IQ,SALA DE AULA PROPRIA         ,2
ASSOC COMUN CANTINHO DO CEU UNID II CS,SALA DE AULA ADAPTADA        ,2
ASSOC CRIA ADOL JOVEM ICARAI UNID XII CS,SALA DE AULA ADAPTADA        ,2
ASSOC UNIAO DA JUTA,BERCARIO,2
ASSOCIACAO ALEGRIA DE VIVER UNID II,SALA DE AULA ADAPTADA        ,2
ASSOCIACAO BENEFICENTE GUAINUMBI,SALA DE AULA PROPRIA         ,2
ASSOCIACAO EVANGELICA BENEFICENTE,SALA DE AULA PROPRIA         ,2
ASSOCIACAO NOSSA ESCOLA,SALA DE AULA PROPRIA         ,2
ASSOCIACAO TRES IRMAOS -,SALA DE AULA ADAPTADA        ,2
AUGUSTO DE OLIVEIRA,BERCARIO,2
AURORA BOREAL,SALA DE ED. INFANTIL PROPRIA ,2
AURORA BOREAL,BERCARIO,2
AURORA BOREAL II,BERCARIO,2
AVES GALHANI,SALA DE ED. INFANTIL PROPRIA ,2
AVES GALHANI,BERCARIO,2
AVIB - ASSOC. VOLUNTARIOS INTEGRADOS DO BRASIL,SALA DE AULA ADAPTADA        ,2
AYANDA - ADAO MANOEL DA SILVA,SALA DE RECREACAO             ,2
AYRES MARTINS TORRES,QUADRA COBERTA                ,2
BANDEIRANTES E UNIVERSAL,SALA DE RECREACAO             ,2
BARBARA HELIODORA,BERCARIO,2
BATISTA,SALA DE RECREACAO             ,2
BELEM,BERCARIO,2
BENEDITO BUENO,BERCARIO,2
BERNARDO SANTANA,BERCARIO,2
BOAVENTURA II,BERCARIO,2
BOM E SER CRIANCA,BERCARIO,2
BOM E SER CRIANCA,SALA DE ED. INFANTIL PROPRIA ,2
BOM JESUS,BERCARIO,2
BONA VITTA,BERCARIO,2
BRILHO NO OLHAR,SALA DE ED. INFANTIL PROPRIA ,2
BRINCANDO TAMBEM SE APRENDE,BERCARIO,2
BRINCANDO TAMBEM SE APRENDE,SALA DE ED. INFANTIL PROPRIA ,2
BRINCAR DE VIVER,SALA DE RECREACAO             ,2
C.E.C. JOAO PAULO II,SALA DE RECREACAO             ,2
CAMINHANDO PARA O FUTURO II,SALA DE ED. INFANTIL PROPRIA ,2
CAMINHAR E CRESCER,BERCARIO,2
CAMINHAR E PRECISO,BERCARIO,2
CAMINHAR V,BERCARIO,2
CAMINHAR VII,SALA DE ED. INFANTIL PROPRIA ,2
CAMPANELA,SALA DE ED. INFANTIL PROPRIA ,2
CAMPOS ELISEOS I,BERCARIO,2
CANTINHO DA LAURINHA,BERCARIO,2
CANTINHO DA SERRA III,SALA DE ED. INFANTIL PROPRIA ,2
CANTINHO DA TIA DORA,SALA DE ED. INFANTIL PROPRIA ,2
CANTINHO DA VOVO HELENA,SALA DE ED. INFANTIL PROPRIA ,2
CANTINHO DE LUZ,BERCARIO,2
CANTINHO DO SABER,SALA DE AULA PROPRIA         ,2
CANTINHO DO TIO ESTEVAM,BERCARIO,2
CANTINHO DOS ANJOS,BERCARIO,2
CANTINHO MAGICO,BERCARIO,2
CANTINHO MAGICO,SALA DE ED. INFANTIL PROPRIA ,2
CANTOS DO AMANHECER,OFICINA                       ,2
CANTOS DO AMANHECER,PISCINA                       ,2
CARDEAL MOTTA,SALA DE ED. INFANTIL PROPRIA ,2
CARMEM MENDES CONCEICAO,SALA DE RECREACAO             ,2
CARRAO I,BERCARIO,2
CARRAO II,BERCARIO,2
CARROSSEL ENCANTADO,SALA DE ED. INFANTIL PROPRIA ,2
CASA DA CRIANCA,SALA DE RECREACAO             ,2
CASA DA CRIANCA FELIZ II,BERCARIO,2
CASA DE CRIAR E BRINCAR,SALA DE ED. INFANTIL PROPRIA ,2
CASA DO CRISTO REDENTOR,SALA DE RECREACAO             ,2
CASA DOS INOCENTES II,BERCARIO,2
CASA SAO JOSE LAR DA INFANCIA,BERCARIO,2
CASULO,SALA DE RECREACAO             ,2
CATAVENTO,SALA DE ED. INFANTIL PROPRIA ,2
CATAVENTO,BERCARIO,2
CEAS SANTA TERESINHA,SALA DE RECREACAO             ,2
CEC ELIZABETH GASPERAVICIUS,SALA DE RECREACAO             ,2
CEC SAMMUTTI,SALA DE RECREACAO             ,2
CEC SAO PEDRO,SALA DE RECREACAO             ,2
CECILIA MARIA I,SALA DE ED. INFANTIL PROPRIA ,2
CECILIA MEIRELES,QUADRA COBERTA                ,2
CEI NINHO ALEGRE,BERCARIO,2
CELIA PERES SUNHIGA,BERCARIO,2
CENTRO DE ACAO SOCIAL ESPACO LIVRE,SALA DE AULA PROPRIA         ,2
CENTRO DE ASSISTENCIA SOCIAL BRAS MOOCA I,BERCARIO,2
CENTRO INT ED JOVENS E ADULTOS - CAMPO LIMPO,SALA RECURSOS MULTIFUNCIONAIS,2
CENTRO SOCIAL MARISTA ROBRU,BERCARIO,2
CENTRO SOCIAL SANTO DIAS UNID I BT,SALA DE AULA PROPRIA         ,2
CEU E COR,BERCARIO,2
CEU E COR,SALA DE ED. INFANTIL PROPRIA ,2
CHACARA BELA VISTA II,BERCARIO,2
CHACARA DONA OLIVIA,BERCARIO,2
CHACARA DOS SONHOS,SALA DE ED. INFANTIL PROPRIA ,2
CHAQUIBE FANDI KALIL,BERCARIO,2
CHICA DA SILVA,BERCARIO,2
CIA DOS SONHOS I,SALA DE ED. INFANTIL PROPRIA ,2
CIA DOS SONHOS III,BERCARIO,2
CIA DOS SONHOS IV,SALA DE ED. INFANTIL PROPRIA ,2
CIDADE IPAVA,SALA DE RECREACAO             ,2
CIDADE PEDRO JOSE NUNES,BERCARIO,2
CIRANDA CIRANDINHA,SALA DE ED. INFANTIL PROPRIA ,2
CIRANDINHA DAS ROSAS,SALA DE ED. INFANTIL PROPRIA ,2
CISNE ENCANTADO CEI,BERCARIO,2
CITY JARAGUA IV,BERCARIO,2
CLAUDIO JANUARIO,BERCARIO,2
CLUBE DOS LEOEZINHOS,SALA DE ED. INFANTIL PROPRIA ,2
COHAB EDUCANDARIO,BERCARIO,2
COMO NOSSOS PAIS,BERCARIO,2
CONDE LUIZ ZUNTA,BERCARIO,2
CONJ. PRESTES MAIA,BERCARIO,2
CONJUNTO HABITACIONAL APOMI,BERCARIO,2
CONJUNTO HABITACIONAL BALTAZAR CISNEROS,BERCARIO,2
CONJUNTO JOSE BONIFACIO,BERCARIO,2
CONJUNTO JOSE BONIFACIO,SALA DE AULA PROPRIA         ,2
CONJUNTO JOSE BONIFACIO,SALA DE ED. INFANTIL PROPRIA ,2
CONOSCO BALNEARIO SAO JOSE,SALA DE RECREACAO             ,2
CONS COMUNITARIO DE EDUCACAO DISTRITO CURUCA E GRANDE LESTE,SALA DE AULA PROPRIA         ,2
CORDEIRINHOS DE CRISTO,BERCARIO,2
CORRE COTIA,SALA DE ED. INFANTIL PROPRIA ,2
CORRE COTIA,BERCARIO,2
CRE-SER,BERCARIO,2
CRESCENDO COM ATITUDE,SALA DE ED. INFANTIL PROPRIA ,2
CRESCENDO COM ATITUDE,BERCARIO,2
CRESCER E APRENDER,BERCARIO,2
CRIA,SALA DE AULA PROPRIA         ,2
CRIANCA DA GENTE,BERCARIO,2
