school,ambient,total_ambients
CAMINHAR COM AMOR - UNIDADE II,SALA DE ED. INFANTIL PROPRIA ,13
CASTILHO III,SALA DE ED. INFANTIL PROPRIA ,13
CELSO LEITE RIBEIRO FILHO,SALA DE AULA PROPRIA         ,13
CHACARA SONHO AZUL,SALA DE AULA PROPRIA         ,13
CIDADE ADEMAR III,SALA DE ED. INFANTIL PROPRIA ,13
CONSTELACAO DO INDIO,SALA DE AULA PROPRIA         ,13
DOM EMILIO PIGNOLI,SALA DE ED. INFANTIL PROPRIA ,13
EDUCANDO,SALA DE ED. INFANTIL PROPRIA ,13
ERA UMA VEZ,SALA DE ED. INFANTIL PROPRIA ,13
ERICO VERISSIMO,SALA DE AULA PROPRIA         ,13
ESPACO DA COMUNIDADE VIII,SALA DE ED. INFANTIL PROPRIA ,13
FILHOS DE DAVI,BERCARIO,13
HERBERT DE SOUZA - BETINHO,SALA DE AULA PROPRIA         ,13
HERMES FERREIRA DE SOUZA,SALA DE AULA PROPRIA         ,13
HUMBERTO DANTAS,SALA DE AULA PROPRIA         ,13
IGUATEMI,SALA DE ED. INFANTIL PROPRIA ,13
JACKSON DE FIGUEIREDO,SALA DE AULA PROPRIA         ,13
JARDIM BELA VISTA,SALA DE ED. INFANTIL PROPRIA ,13
JARDIM GUANCA,SALA DE AULA PROPRIA         ,13
JARDIM MACEDONIA,SALA DE ED. INFANTIL PROPRIA ,13
JARDIM MARIA LUIZA,SALA DE ED. INFANTIL PROPRIA ,13
JOAO DOMINGUES SAMPAIO,SALA DE AULA PROPRIA         ,13
JOAO GUALBERTO DO AMARAL CARVALHO,SALA DE AULA PROPRIA         ,13
JOAO PAULO II,SALA DE ED. INFANTIL PROPRIA ,13
M BOI MIRIM I,SALA DE AULA PROPRIA         ,13
MARANATA,SALA DE ED. INFANTIL PROPRIA ,13
MARIO KOSEL FILHO,SALA DE AULA PROPRIA         ,13
MARLI FERRAZ TORRES BONFIM,SALA DE AULA PROPRIA         ,13
MARTIN FRANCISCO RIBEIRO DE ANDRADA,SALA DE AULA PROPRIA         ,13
MARTIN LUTHER KING JR,SALA DE AULA PROPRIA         ,13
MENINOS,SALA DE AULA PROPRIA         ,13
MILTON PEREIRA COSTA,SALA DE AULA PROPRIA         ,13
NOSSA SENHORA APARECIDA,SALA DE ED. INFANTIL PROPRIA ,13
NOSSA SENHORA DA PAZ,SALA DE ED. INFANTIL PROPRIA ,13
NOSSA SENHORA DE FATIMA,SALA DE ED. INFANTIL PROPRIA ,13
OLEGARIO MARIANO,SALA DE AULA PROPRIA         ,13
OTONIEL MOTA,SALA DE AULA PROPRIA         ,13
PARQUE ANHANGUERA,SALA DE ED. INFANTIL PROPRIA ,13
PEDREIRA I,SALA DE ED. INFANTIL PROPRIA ,13
PERICLES EUGENIO DA SILVA RAMOS,SALA DE AULA PROPRIA         ,13
PRIMEIROS PASSOS,SALA DE ED. INFANTIL PROPRIA ,13
RAUL PILLA,SALA DE AULA PROPRIA         ,13
RODRIGUES ALVES,SALA DE AULA PROPRIA         ,13
RUI BLOEM,SALA DE AULA PROPRIA         ,13
RUY BARBOSA,SALA DE AULA PROPRIA         ,13
SANTA RITA,SALA DE ED. INFANTIL PROPRIA ,13
SAO DOMINGOS,SALA DE ED. INFANTIL PROPRIA ,13
TEREZINHA MOTA DE FIGUEIREDO,SALA DE AULA PROPRIA         ,13
TOMAS DE AQUINO,SALA DE ED. INFANTIL PROPRIA ,13
TRES PONTES,SALA DE ED. INFANTIL PROPRIA ,13
VENHA CONOSCO - UNIDADE VIII,SALA DE ED. INFANTIL PROPRIA ,13
VIANNA MOOG,SALA DE AULA PROPRIA         ,13
VILA CURUCA,SALA DE AULA PROPRIA         ,13
VOVO SEBASTIAO SIQUEIRA,BERCARIO,13
ACLAMADO,SALA DE AULA PROPRIA         ,12
ALBERTO SANTOS DUMONT,SALA DE AULA PROPRIA         ,12
AMADEU AMARAL,SALA DE AULA PROPRIA         ,12
ANNA SILVEIRA PEDREIRA,SALA DE AULA PROPRIA         ,12
ANTONIO DE PADUA,SALA DE ED. INFANTIL PROPRIA ,12
ARCO,SALA DE RECREACAO             ,12
ARMANDO CRIDEY RIGHETTI,SALA DE AULA PROPRIA         ,12
ARTHUR ALVIM,SALA DE AULA PROPRIA         ,12
BARTOLOMEU LOURENCO DE GUSMAO,SALA DE AULA PROPRIA         ,12
BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA,SALA DE AULA PROPRIA         ,12
BUTANTA,SALA DE AULA PROPRIA         ,12
CACILDA BECKER,SALA DE AULA PROPRIA         ,12
CAMINHAR COM AMOR - UNIDADE I,SALA DE AULA PROPRIA         ,12
CASA BLANCA,SALA DE AULA PROPRIA         ,12
CASSIANO RICARDO,SALA DE AULA PROPRIA         ,12
CIDADE DUTRA,SALA DE AULA PROPRIA         ,12
CLUBE DE MAES DO JARDIM TURQUESA,SALA DE AULA PROPRIA         ,12
COLINHO DE MAMAE,BERCARIO,12
CRI ACAO III - ACQUARELA,SALA DE ED. INFANTIL PROPRIA ,12
EDGARD CAVALHEIRO,SALA DE AULA PROPRIA         ,12
EDUARDO PRADO,SALA DE AULA PROPRIA         ,12
EFRAIM,SALA DE ED. INFANTIL PROPRIA ,12
ELIEL ROSA,BERCARIO,12
ELOYSE I,BERCARIO,12
ESTACAO JARAGUA,SALA DE AULA PROPRIA         ,12
EUCLIDES DA CUNHA,SALA DE AULA PROPRIA         ,12
EURIDICE FERREIRA DE MELO,SALA DE ED. INFANTIL PROPRIA ,12
FUTURO FELIZ,SALA DE ED. INFANTIL PROPRIA ,12
GIANFRANCESCO GUARNIERI,SALA DE AULA PROPRIA         ,12
HENRI WALLON,SALA DE ED. INFANTIL PROPRIA ,12
HENRIQUE FELIPE DA COSTA - HENRICAO,SALA DE AULA PROPRIA         ,12
HUMBERTO DE CAMPOS,SALA DE AULA PROPRIA         ,12
