escola,average_age
RECANTO DOS PASSAROS,13
CIDADE JULIA,13
OBRA DO BECO - NOSSA VIDA NOSSA ARTE,13
FREI REGINALDO,13
JARDIM KERALUX,13
ARCO IRIS III,13
VILA SAO GERALDO,13
SETE DE SETEMBRO,13
CELSO LEITE RIBEIRO FILHO,13
SEMEANDO ESPERSANCA,13
LEAO XIII - SONIA VIDIGAL,13
ACLAMADO,13
RECANTO SANTA MONICA,13
CARLOS DE ANDRADE RIZZINI,13
RUBENS PAIVA,13
NOSSA SENHORA APARECIDA I,13
PARQUE SANTA AMELIA E ADJACENCIAS,13
SEGUNDA MILHA,13
VILA PAULISTA,13
PAROQUIA SANTO ANTONIO,13
PEDREIRA - MAR PAULISTA - GUACURI,13
JARDIM SILVA TELES,13
GUADALUPE,13
PADRE GREGORIO WESTRUPP,13
PROJETO VIDA,13
ANTENOR NASCENTES,13
RIVIERA,13
DORALINA MANCINI,13
AHIMSA ASSOCIACAO EDUCACIONAL PARA MULTIPLA DEFICIENCIA,13
PADRE JAIME,13
CEBECH INACIO MONTEIRO,13
JOAO RAMOS - PERNAMBUCO - ABOLICIONISTA,13
LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA,13
PAM,13
CASA DOS MENINOS I,13
CAMPO LIMPO II,13
DOM BOSCO,13
PLINIO AYROSA,13
SANTA LUCIA,13
CENTRO EDUCATIVO FREI LUIZ AMIGO - CEFLA,13
ZACKI NARCHI,13
TELIA GIROTTI,13
OLIVAL COSTA,13
CASA DOS CURUMINS,13
PARQUE DE TAIPAS,13
JARDIM INGA,13
